model,mae,mse,rmse,r2
Random Forest,1060.2834714344979,7035488.978211061,2652.449618411453,0.8926978404378092
Decision Tree,1380.3065902154265,12325557.098776681,3510.7772784351732,0.8120160661751018
Gradient Boosting,1541.8680622086174,9637792.128546441,3104.479365134586,0.8530086662053907
Linear Regression,2077.9629726917497,19343849.3163406,4398.164312112566,0.7049761839841965
